durationStartYear	DURATION_END_YEAR	ECAI	fupItem	value	COUNTERPARTY_RISK_TYPE_CODE	TYPE_OF_BOND
5	10	5	D_Relative	0.025	CR2	Government Bonds
10	15	5	D_Relative	0.018	CR2	Government Bonds
15	20	5	D_Relative	0.005	CR2	Government Bonds
20	9999	5	D_Relative	0.005	CR2	Government Bonds
0	5	5	D_Subtract	0	CR2	Government Bonds
5	10	5	D_Subtract	5	CR2	Government Bonds
10	15	5	D_Subtract	10	CR2	Government Bonds
15	20	5	D_Subtract	15	CR2	Government Bonds
20	9999	5	D_Subtract	20	CR2	Government Bonds
0	5	6	Absolute	0	CR2	Government Bonds
5	10	6	Absolute	0.225	CR2	Government Bonds
10	15	6	Absolute	0.35	CR2	Government Bonds
15	20	6	Absolute	0.44	CR2	Government Bonds
20	9999	6	Absolute	0.465	CR2	Government Bonds
0	5	6	D_Relative	0.045	CR2	Government Bonds
5	10	6	D_Relative	0.025	CR2	Government Bonds
10	15	6	D_Relative	0.018	CR2	Government Bonds
15	20	6	D_Relative	0.005	CR2	Government Bonds
20	9999	6	D_Relative	0.005	CR2	Government Bonds
0	5	6	D_Subtract	0	CR2	Government Bonds
5	10	6	D_Subtract	5	CR2	Government Bonds
10	15	6	D_Subtract	10	CR2	Government Bonds
15	20	6	D_Subtract	15	CR2	Government Bonds
20	9999	6	D_Subtract	20	CR2	Government Bonds
0	5	9	Absolute	0	CR2	Government Bonds
5	10	9	Absolute	0.15	CR2	Government Bonds
10	15	9	Absolute	0.235	CR2	Government Bonds
15	20	9	Absolute	0.235	CR2	Government Bonds
20	9999	9	Absolute	0.35	CR2	Government Bonds
0	5	9	D_Relative	0.03	CR2	Government Bonds
5	10	9	D_Relative	0.017	CR2	Government Bonds
10	15	9	D_Relative	0.012	CR2	Government Bonds
15	20	9	D_Relative	0.012	CR2	Government Bonds
20	9999	9	D_Relative	0.005	CR2	Government Bonds
0	5	9	D_Subtract	0	CR2	Government Bonds
5	10	9	D_Subtract	5	CR2	Government Bonds
10	15	9	D_Subtract	10	CR2	Government Bonds
15	20	9	D_Subtract	10	CR2	Government Bonds
20	9999	9	D_Subtract	20	CR2	Government Bonds
0	9999	0	Absolute	0	CR3	COLL_TYPE1
0	9999	0	D_Relative	0.021	CR3	COLL_TYPE1
0	9999	0	D_Subtract	0	CR3	COLL_TYPE1
0	9999	1	Absolute	0	CR3	COLL_TYPE1
0	9999	1	D_Relative	0.03	CR3	COLL_TYPE1
0	9999	1	D_Subtract	0	CR3	COLL_TYPE1
0	9999	2	Absolute	0	CR3	COLL_TYPE1
0	9999	2	D_Relative	0.03	CR3	COLL_TYPE1
0	9999	2	D_Subtract	0	CR3	COLL_TYPE1
0	9999	3	Absolute	0	CR3	COLL_TYPE1
0	9999	3	D_Relative	0.03	CR3	COLL_TYPE1
0	9999	3	D_Subtract	0	CR3	COLL_TYPE1
0	9999	0	Absolute	0	CR3	COLL_TYPE2
0	9999	0	D_Relative	0.125	CR3	COLL_TYPE2
0	9999	0	D_Subtract	0	CR3	COLL_TYPE2
0	9999	1	Absolute	0	CR3	COLL_TYPE2
0	9999	1	D_Relative	0.134	CR3	COLL_TYPE2
0	9999	1	D_Subtract	0	CR3	COLL_TYPE2
0	9999	2	Absolute	0	CR3	COLL_TYPE2
0	9999	2	D_Relative	0.166	CR3	COLL_TYPE2
0	9999	2	D_Subtract	0	CR3	COLL_TYPE2
0	9999	3	Absolute	0	CR3	COLL_TYPE2
0	9999	3	D_Relative	0.197	CR3	COLL_TYPE2
0	9999	3	D_Subtract	0	CR3	COLL_TYPE2
0	9999	4	Absolute	0	CR3	COLL_TYPE2
0	9999	4	D_Relative	0.82	CR3	COLL_TYPE2
0	9999	4	D_Subtract	0	CR3	COLL_TYPE2
0	9999	5	Absolute	0	CR3	COLL_TYPE2
0	9999	5	D_Relative	1	CR3	COLL_TYPE2
0	9999	5	D_Subtract	0	CR3	COLL_TYPE2
0	9999	6	Absolute	0	CR3	COLL_TYPE2
0	9999	6	D_Relative	1	CR3	COLL_TYPE2
0	9999	6	D_Subtract	0	CR3	COLL_TYPE2
0	9999	9	Absolute	0	CR3	COLL_TYPE2
0	9999	9	D_Relative	1	CR3	COLL_TYPE2
0	9999	9	D_Subtract	0	CR3	COLL_TYPE2
0	5	0	Absolute	0	CR3	Corporate Bonds
5	10	0	Absolute	0.045	CR3	Corporate Bonds
10	15	0	Absolute	0.07	CR3	Corporate Bonds
15	20	0	Absolute	0.095	CR3	Corporate Bonds
20	9999	0	Absolute	0.12	CR3	Corporate Bonds
0	5	0	D_Relative	0.009	CR3	Corporate Bonds
5	10	0	D_Relative	0.005	CR3	Corporate Bonds
10	15	0	D_Relative	0.005	CR3	Corporate Bonds
15	20	0	D_Relative	0.005	CR3	Corporate Bonds
20	9999	0	D_Relative	0.005	CR3	Corporate Bonds
0	5	0	D_Subtract	0	CR3	Corporate Bonds
5	10	0	D_Subtract	5	CR3	Corporate Bonds
10	15	0	D_Subtract	10	CR3	Corporate Bonds
15	20	0	D_Subtract	15	CR3	Corporate Bonds
20	9999	0	D_Subtract	20	CR3	Corporate Bonds
0	5	1	Absolute	0	CR3	Corporate Bonds
5	10	1	Absolute	0.055	CR3	Corporate Bonds
10	15	1	Absolute	0.084	CR3	Corporate Bonds
15	20	1	Absolute	0.109	CR3	Corporate Bonds
20	9999	1	Absolute	0.134	CR3	Corporate Bonds
0	5	1	D_Relative	0.011	CR3	Corporate Bonds
5	10	1	D_Relative	0.006	CR3	Corporate Bonds
10	15	1	D_Relative	0.005	CR3	Corporate Bonds
15	20	1	D_Relative	0.005	CR3	Corporate Bonds
20	9999	1	D_Relative	0.005	CR3	Corporate Bonds
0	5	1	D_Subtract	0	CR3	Corporate Bonds
5	10	1	D_Subtract	5	CR3	Corporate Bonds
10	15	1	D_Subtract	10	CR3	Corporate Bonds
15	20	1	D_Subtract	15	CR3	Corporate Bonds
20	9999	1	D_Subtract	20	CR3	Corporate Bonds
0	5	2	Absolute	0	CR3	Corporate Bonds
5	10	2	Absolute	0.07	CR3	Corporate Bonds
10	15	2	Absolute	0.105	CR3	Corporate Bonds
15	20	2	Absolute	0.13	CR3	Corporate Bonds
20	9999	2	Absolute	0.155	CR3	Corporate Bonds
0	5	2	D_Relative	0.014	CR3	Corporate Bonds
5	10	2	D_Relative	0.007	CR3	Corporate Bonds
10	15	2	D_Relative	0.005	CR3	Corporate Bonds
15	20	2	D_Relative	0.005	CR3	Corporate Bonds
20	9999	2	D_Relative	0.005	CR3	Corporate Bonds
0	5	2	D_Subtract	0	CR3	Corporate Bonds
5	10	2	D_Subtract	5	CR3	Corporate Bonds
10	15	2	D_Subtract	10	CR3	Corporate Bonds
15	20	2	D_Subtract	15	CR3	Corporate Bonds
20	9999	2	D_Subtract	20	CR3	Corporate Bonds
0	5	3	Absolute	0	CR3	Corporate Bonds
5	10	3	Absolute	0.125	CR3	Corporate Bonds
10	15	3	Absolute	0.2	CR3	Corporate Bonds
15	20	3	Absolute	0.25	CR3	Corporate Bonds
20	9999	3	Absolute	0.3	CR3	Corporate Bonds
0	5	3	D_Relative	0.025	CR3	Corporate Bonds
5	10	3	D_Relative	0.015	CR3	Corporate Bonds
10	15	3	D_Relative	0.01	CR3	Corporate Bonds
15	20	3	D_Relative	0.01	CR3	Corporate Bonds
20	9999	3	D_Relative	0.005	CR3	Corporate Bonds
0	5	3	D_Subtract	0	CR3	Corporate Bonds
5	10	3	D_Subtract	5	CR3	Corporate Bonds
10	15	3	D_Subtract	10	CR3	Corporate Bonds
15	20	3	D_Subtract	15	CR3	Corporate Bonds
20	9999	3	D_Subtract	20	CR3	Corporate Bonds
0	5	4	Absolute	0	CR3	Corporate Bonds
5	10	4	Absolute	0.225	CR3	Corporate Bonds
10	15	4	Absolute	0.35	CR3	Corporate Bonds
15	20	4	Absolute	0.44	CR3	Corporate Bonds
20	9999	4	Absolute	0.465	CR3	Corporate Bonds
0	5	4	D_Relative	0.045	CR3	Corporate Bonds
5	10	4	D_Relative	0.025	CR3	Corporate Bonds
10	15	4	D_Relative	0.018	CR3	Corporate Bonds
15	20	4	D_Relative	0.005	CR3	Corporate Bonds
20	9999	4	D_Relative	0.005	CR3	Corporate Bonds
0	5	4	D_Subtract	0	CR3	Corporate Bonds
5	10	4	D_Subtract	5	CR3	Corporate Bonds
10	15	4	D_Subtract	10	CR3	Corporate Bonds
15	20	4	D_Subtract	15	CR3	Corporate Bonds
20	9999	4	D_Subtract	20	CR3	Corporate Bonds
0	5	5	Absolute	0	CR3	Corporate Bonds
5	10	5	Absolute	0.375	CR3	Corporate Bonds
10	15	5	Absolute	0.585	CR3	Corporate Bonds
15	20	5	Absolute	0.61	CR3	Corporate Bonds
20	9999	5	Absolute	0.635	CR3	Corporate Bonds
0	5	5	D_Relative	0.075	CR3	Corporate Bonds
5	10	5	D_Relative	0.042	CR3	Corporate Bonds
10	15	5	D_Relative	0.005	CR3	Corporate Bonds
15	20	5	D_Relative	0.005	CR3	Corporate Bonds
20	9999	5	D_Relative	0.005	CR3	Corporate Bonds
0	5	5	D_Subtract	0	CR3	Corporate Bonds
5	10	5	D_Subtract	5	CR3	Corporate Bonds
10	15	5	D_Subtract	10	CR3	Corporate Bonds
15	20	5	D_Subtract	15	CR3	Corporate Bonds
20	9999	5	D_Subtract	20	CR3	Corporate Bonds
0	5	6	Absolute	0	CR3	Corporate Bonds
5	10	6	Absolute	0.375	CR3	Corporate Bonds
10	15	6	Absolute	0.585	CR3	Corporate Bonds
15	20	6	Absolute	0.61	CR3	Corporate Bonds
20	9999	6	Absolute	0.635	CR3	Corporate Bonds
0	5	6	D_Relative	0.075	CR3	Corporate Bonds
5	10	6	D_Relative	0.042	CR3	Corporate Bonds
10	15	6	D_Relative	0.005	CR3	Corporate Bonds
15	20	6	D_Relative	0.005	CR3	Corporate Bonds
20	9999	6	D_Relative	0.005	CR3	Corporate Bonds
0	5	6	D_Subtract	0	CR3	Corporate Bonds
5	10	6	D_Subtract	5	CR3	Corporate Bonds
10	15	6	D_Subtract	10	CR3	Corporate Bonds
15	20	6	D_Subtract	15	CR3	Corporate Bonds
20	9999	6	D_Subtract	20	CR3	Corporate Bonds
0	5	9	Absolute	0	CR3	Corporate Bonds
5	10	9	Absolute	0.15	CR3	Corporate Bonds
10	15	9	Absolute	0.235	CR3	Corporate Bonds
15	20	9	Absolute	0.235	CR3	Corporate Bonds
20	9999	9	Absolute	0.35	CR3	Corporate Bonds
0	5	9	D_Relative	0.03	CR3	Corporate Bonds
5	10	9	D_Relative	0.017	CR3	Corporate Bonds
10	15	9	D_Relative	0.012	CR3	Corporate Bonds
15	20	9	D_Relative	0.012	CR3	Corporate Bonds
20	9999	9	D_Relative	0.005	CR3	Corporate Bonds
0	5	9	D_Subtract	0	CR3	Corporate Bonds
5	10	9	D_Subtract	5	CR3	Corporate Bonds
10	15	9	D_Subtract	10	CR3	Corporate Bonds
15	20	9	D_Subtract	10	CR3	Corporate Bonds
20	9999	9	D_Subtract	20	CR3	Corporate Bonds
0	5	0	Absolute	0	CR3	Government Bonds
5	10	0	Absolute	0.045	CR3	Government Bonds
10	15	0	Absolute	0.07	CR3	Government Bonds
